dataset,filename,method,niqe
sots_o,0001_0.8_0.2.png,original,20.105252
sots_o,0001_0.8_0.2.png,dcp,19.306895
sots_o,0001_0.8_0.2.png,aodnet,19.995729
sots_o,0002_0.8_0.08.png,original,20.598337
sots_o,0002_0.8_0.08.png,dcp,20.323156
sots_o,0002_0.8_0.08.png,aodnet,20.779959
sots_o,0003_0.8_0.2.png,original,20.690432
sots_o,0003_0.8_0.2.png,dcp,20.341597
sots_o,0003_0.8_0.2.png,aodnet,20.609331
sots_o,0004_0.9_0.12.png,original,19.859149
sots_o,0004_0.9_0.12.png,dcp,19.336592
sots_o,0004_0.9_0.12.png,aodnet,19.682306
sots_o,0006_0.85_0.08.png,original,20.289801
sots_o,0006_0.85_0.08.png,dcp,19.930599
sots_o,0006_0.85_0.08.png,aodnet,20.255919
sots_o,0007_0.9_0.16.png,original,20.536448
sots_o,0007_0.9_0.16.png,dcp,20.455700
sots_o,0007_0.9_0.16.png,aodnet,20.628301
sots_o,0009_0.8_0.16.png,original,20.798521
sots_o,0009_0.8_0.16.png,dcp,20.753342
sots_o,0009_0.8_0.16.png,aodnet,20.740999
sots_o,0010_0.95_0.16.png,original,21.010957
sots_o,0010_0.95_0.16.png,dcp,21.207281
sots_o,0010_0.95_0.16.png,aodnet,21.276930
sots_o,0011_0.95_0.16.png,original,20.731632
sots_o,0011_0.95_0.16.png,dcp,20.587773
sots_o,0011_0.95_0.16.png,aodnet,20.759418
sots_o,0014_0.8_0.12.png,original,20.427423
sots_o,0014_0.8_0.12.png,dcp,20.142830
sots_o,0014_0.8_0.12.png,aodnet,20.509021
sots_o,0016_0.8_0.08.png,original,19.894357
sots_o,0016_0.8_0.08.png,dcp,19.257600
sots_o,0016_0.8_0.08.png,aodnet,19.708997
sots_o,0017_0.9_0.08.png,original,20.351384
sots_o,0017_0.9_0.08.png,dcp,20.025374
sots_o,0017_0.9_0.08.png,aodnet,20.514557
sots_o,0018_0.9_0.2.png,original,20.249663
sots_o,0018_0.9_0.2.png,dcp,19.833007
sots_o,0018_0.9_0.2.png,aodnet,20.133026
sots_o,0019_0.8_0.16.png,original,20.975261
sots_o,0019_0.8_0.16.png,dcp,20.397728
sots_o,0019_0.8_0.16.png,aodnet,21.175696
sots_o,0021_0.8_0.08.png,original,20.374990
sots_o,0021_0.8_0.08.png,dcp,20.016991
sots_o,0021_0.8_0.08.png,aodnet,20.379693
sots_o,0022_0.8_0.08.png,original,20.202785
sots_o,0022_0.8_0.08.png,dcp,19.811325
sots_o,0022_0.8_0.08.png,aodnet,20.234826
sots_o,0023_0.85_0.12.png,original,20.644979
sots_o,0023_0.85_0.12.png,dcp,20.421183
