filename,method,niqe
03a75e1c49e5784b642f289e80591283.png,original,21.233817
03a75e1c49e5784b642f289e80591283.png,dcp,20.915368
03a75e1c49e5784b642f289e80591283.png,aodnet,21.174283
1218583022b2b34611fe0f21881993ef.png,original,23.421522
1218583022b2b34611fe0f21881993ef.png,dcp,24.217063
1218583022b2b34611fe0f21881993ef.png,aodnet,23.905671
1645dc06c0d94cd4258395313f9d476d.png,original,20.427033
1645dc06c0d94cd4258395313f9d476d.png,dcp,20.898601
1645dc06c0d94cd4258395313f9d476d.png,aodnet,20.816500
1acab86575bdcf430c06761a681e9214.png,original,17.894656
1acab86575bdcf430c06761a681e9214.png,dcp,17.922603
1acab86575bdcf430c06761a681e9214.png,aodnet,18.825359
24a69ff05fb0169cb3b238db5e966704.png,original,20.831521
24a69ff05fb0169cb3b238db5e966704.png,dcp,20.887945
24a69ff05fb0169cb3b238db5e966704.png,aodnet,20.774560
35c7c5dd265b04ccd11bb38a4b5caa56.png,original,20.589858
35c7c5dd265b04ccd11bb38a4b5caa56.png,dcp,20.700122
35c7c5dd265b04ccd11bb38a4b5caa56.png,aodnet,21.285837
464455.png,original,20.508638
464455.png,dcp,20.165768
464455.png,aodnet,20.508696
4f2d2e97750d72da0eed39aee4d7d045.png,original,20.997782
4f2d2e97750d72da0eed39aee4d7d045.png,dcp,20.955652
4f2d2e97750d72da0eed39aee4d7d045.png,aodnet,21.255748
4fd32ab5c27890170d3fa38714ddb2f4.png,original,21.016708
4fd32ab5c27890170d3fa38714ddb2f4.png,dcp,20.978974
4fd32ab5c27890170d3fa38714ddb2f4.png,aodnet,21.748554
4fffd696b041ae2a90481e20ff21a206.png,original,20.632543
4fffd696b041ae2a90481e20ff21a206.png,dcp,20.576370
4fffd696b041ae2a90481e20ff21a206.png,aodnet,20.941387
554b4fdda9997c5e787ab552770ead04.png,original,20.808363
554b4fdda9997c5e787ab552770ead04.png,dcp,20.594184
554b4fdda9997c5e787ab552770ead04.png,aodnet,20.773183
56ef3663c020e7e8e46590974fff92b8.png,original,22.046421
56ef3663c020e7e8e46590974fff92b8.png,dcp,21.961270
56ef3663c020e7e8e46590974fff92b8.png,aodnet,23.278748
5a64e07ca6ae2d03e162d7f83d962da8.png,original,20.647315
5a64e07ca6ae2d03e162d7f83d962da8.png,dcp,20.650561
5a64e07ca6ae2d03e162d7f83d962da8.png,aodnet,20.709280
61e5a2788aa73bf28795b04c78a9cad5.png,original,20.343779
61e5a2788aa73bf28795b04c78a9cad5.png,dcp,20.507038
61e5a2788aa73bf28795b04c78a9cad5.png,aodnet,20.547392
65c445954595686356ba3095d28af1a5.png,original,20.777003
65c445954595686356ba3095d28af1a5.png,dcp,20.786746
65c445954595686356ba3095d28af1a5.png,aodnet,21.114047
69d18c55fc692e79621cf9a2b8ef1d2a.png,original,20.638356
69d18c55fc692e79621cf9a2b8ef1d2a.png,dcp,20.925622
69d18c55fc692e79621cf9a2b8ef1d2a.png,aodnet,20.935556
6f8fa2c9da479c1c6a4a74bc7e53469b.png,original,21.107635
6f8fa2c9da479c1c6a4a74bc7e53469b.png,dcp,21.114639
6f8fa2c9da479c1c6a4a74bc7e53469b.png,aodnet,21.585949
7bcdc17b33fd0ccaa9019a1355df77c1.png,original,20.937355
7bcdc17b33fd0ccaa9019a1355df77c1.png,dcp,21.742998
7bcdc17b33fd0ccaa9019a1355df77c1.png,aodnet,21.008261
7e9499869b9cdfcd2b891d12475aaaf2.png,original,20.924858
7e9499869b9cdfcd2b891d12475aaaf2.png,dcp,21.148023
7e9499869b9cdfcd2b891d12475aaaf2.png,aodnet,20.826316
805ef941e7dbd1fd2e97a2e3b89cfd1d.png,original,21.021649
805ef941e7dbd1fd2e97a2e3b89cfd1d.png,dcp,20.939515
805ef941e7dbd1fd2e97a2e3b89cfd1d.png,aodnet,21.139140
874c082c4d60a402c25156ac8a8b4392.png,original,20.394824
874c082c4d60a402c25156ac8a8b4392.png,dcp,20.402863
874c082c4d60a402c25156ac8a8b4392.png,aodnet,20.817946
95c7ccf25e9c5fa0cbc15040865e414e.png,original,20.453527
95c7ccf25e9c5fa0cbc15040865e414e.png,dcp,20.591689
95c7ccf25e9c5fa0cbc15040865e414e.png,aodnet,21.290529
9c4322e24f9487209ca61ebc984259db.png,original,20.774875
9c4322e24f9487209ca61ebc984259db.png,dcp,20.797561
9c4322e24f9487209ca61ebc984259db.png,aodnet,22.583232
AA1wVB2r.png,original,20.338696
AA1wVB2r.png,dcp,20.179273
AA1wVB2r.png,aodnet,20.359634
IMG_22111.png,original,20.103345
IMG_22111.png,dcp,20.019933
